SNR_dB,"BCH(7,4)_BMR","BCH(7,4)_KDR","BCH(15,7)_BMR","BCH(15,7)_KDR","BCH(127,64)_BMR","BCH(127,64)_KDR"
-10.00,43.7714,44.8857,44.3600,46.8667,44.3354,47.2787
-7.65,42.0857,44.2000,41.4133,44.1200,41.3213,45.8819
-5.29,37.0857,39.4571,36.6133,42.4000,37.1874,43.6268
-2.94,32.2571,34.4000,31.5600,37.4267,31.0488,40.4126
-0.59,26.1143,27.6286,23.7600,28.9600,24.5937,36.9228
1.76,18.9714,18.2000,18.0400,19.4533,18.2992,34.2205
4.12,12.8000,9.8286,12.1467,9.2400,12.5260,29.2378
6.47,8.5714,4.9429,9.0533,5.0667,8.3827,14.7827
8.82,5.5143,1.6571,5.4267,1.2400,5.2677,2.1795
11.18,3.2286,0.9429,3.3733,0.6133,3.3480,0.1780
13.53,1.9429,0.0857,2.2667,0.3467,2.1858,0.0000
15.88,1.2286,0.2571,1.2400,0.0000,1.3055,0.0000
18.24,0.7714,0.0857,0.6267,0.0000,0.7433,0.0000
20.59,0.2286,0.0000,0.4400,0.0000,0.3969,0.0000
22.94,0.2857,0.0857,0.2800,0.0000,0.2283,0.0000
25.29,0.0857,0.0000,0.1467,0.0000,0.1323,0.0000
27.65,0.0571,0.0000,0.0533,0.0000,0.0945,0.0000
30.00,0.0857,0.0000,0.0400,0.0000,0.0630,0.0000
