SNR_dB,ρ=0.70_antes,ρ=0.70_pos,ρ=0.80_antes,ρ=0.80_pos,ρ=0.90_antes,ρ=0.90_pos,ρ=0.95_antes,ρ=0.95_pos,ρ=0.99_antes,ρ=0.99_pos
-10.00,43.2213,46.6504,43.0835,46.2992,42.8370,46.5228,43.4858,46.9370,43.8299,46.7992
-7.65,39.0260,44.3850,38.7701,44.3425,39.1465,44.4677,39.4260,44.8346,40.2402,45.0835
-5.29,33.7142,41.8039,33.4961,41.8323,33.9520,41.8016,34.4291,42.0732,35.2843,42.8039
-2.94,26.9102,38.2811,26.8937,38.3575,27.5016,38.4236,27.7252,38.6449,28.8654,39.5094
-0.59,19.9567,35.0740,19.7874,34.7165,20.2535,35.1488,20.9992,35.2772,22.2827,35.9638
1.76,13.7173,30.6039,13.7921,31.0071,14.0079,31.1512,14.4354,31.5630,15.7205,32.2472
4.12,8.7110,16.8622,8.8378,16.9819,9.0787,18.9362,9.4386,19.6811,10.4087,23.7504
6.47,5.4307,2.3559,5.3520,2.0976,5.4976,2.8016,5.7323,3.0528,6.4425,5.9197
8.82,3.2205,0.0583,3.0961,0.0559,3.2394,0.0591,3.3165,0.1890,3.7370,0.3228
11.18,1.9346,0.0000,1.8559,0.0000,1.9024,0.0000,1.9591,0.0000,2.1921,0.0000
13.53,1.0850,0.0000,1.1394,0.0000,1.0866,0.0000,1.1638,0.0000,1.2724,0.0000
15.88,0.6630,0.0000,0.6701,0.0000,0.6583,0.0000,0.6685,0.0000,0.7094,0.0000
18.24,0.3811,0.0000,0.3661,0.0000,0.4008,0.0000,0.4165,0.0000,0.4449,0.0000
20.59,0.2457,0.0000,0.2654,0.0000,0.2126,0.0000,0.2283,0.0000,0.2433,0.0000
22.94,0.1197,0.0000,0.1102,0.0000,0.1197,0.0000,0.1299,0.0000,0.1291,0.0000
25.29,0.0701,0.0000,0.0598,0.0000,0.0724,0.0000,0.0598,0.0000,0.0756,0.0000
27.65,0.0472,0.0000,0.0409,0.0000,0.0433,0.0000,0.0417,0.0000,0.0394,0.0000
30.00,0.0228,0.0000,0.0370,0.0000,0.0252,0.0000,0.0220,0.0000,0.0291,0.0000
